"id","tipo","estado","so","ga_indice","p_indice","t_indice","pc_indice","pc_metodos","pc_respuesta","pc_activacion","pc_celeridad","pg_indice","pg_mec","pg_formato","pg_actores","pg_func","pg_seg","tc_indice","tcai_indice","tcai_completitud","tcai_claridad","tcai_celeridad","tctp_indice","tctp_google","tctp_buscador","tctp_confiabilidad","tctp_comprensibilidad","tctp_interaccion","tctp_fecha_act","tg_indice","tgda_indice","tgda_accesible","tgda_digital","tgda_leg_maq","tgda_gratuito","tgda_lic_abierta","tgda_formato_abierto","tgda_oportuno","tgda_url","tgda_no_disc","tgda_integral","tgda_interaccion","tgta_indice","tgai_indice","tgai_respuesta","tgai_plazo","tgai_prorroga"
1245,"Ejecutivo","Oaxaca","Secretaría de Cultura y las Artes",0.397596817,0.125,0.670193634,0.25,1,0,0,0,0,0,0,0,0,0,0.467230769,0.778717949,0.833333333,0.916666667,0.586153846,0,0,0,0,0,0,0,0.873156499,0,0,0,0,0,0,0,0,0,0,0,0,0.931034483,0.98974359,1,0.984615385,0.984615385
1246,"Judicial","Oaxaca","Tribunal Electoral del Estado de Oaxaca",0.75097619,0.7,0.801952381,0.7,0.8,1,0,1,NA,NA,NA,NA,NA,NA,0.719619048,0.839365079,1,0.833333333,0.684761905,0.54,1,1,0.25,1,0,0,0.884285714,0,0,0,0,0,0,0,0,0,0,0,0,0.966666667,0.99047619,1,1,0.971428571
1247,"Municipio","Oaxaca","Heroica Ciudad de Huajuapan de León",0.539806818,0.39,0.689613636,0.25,1,0,0,0,0.53,1,0.33,0,1,0,0.699454545,0.779090909,1,0.916666667,0.420606061,0.58,1,0,0.5,1,1,0,0.679772727,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.945454545,0.963636364,0.909090909,0.963636364
1248,"Municipio","Oaxaca","Santo Domingo Tehuantepec",0.243431985,0.125,0.361863971,0.25,1,0,0,0,0,0,0,0,0,0,0.573176471,0.701960784,1,1,0.105882353,0.38,0,1,0.25,1,0,0,0.150551471,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.235294118,0.235294118,0.235294118,0.235294118
1249,"Municipio","Oaxaca","Santiago Pinotepa Nacional",0.05,0.1,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,"Municipio","Oaxaca","Santa María Huatulco",0.214113095,0.075,0.35322619,0.15,0.6,0,0,0,0,0,0,0,0,0,0.33752381,0.562539683,0.666666667,0.75,0.270952381,0,0,0,0,0,0,0,0.368928571,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.552380952,0.557142857,0.542857143,0.557142857
1251,"Municipio","Oaxaca","Villa de Tututepec",0.18,0.36,0,0.72,0.4,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1252,"Municipio","Oaxaca","Miahuatlán de Porfirio Díaz",0.1085,0.125,0.092,0.25,1,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0.46,1,0.5,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,"Municipio","Oaxaca","Santa Lucía del Camino",0.359387031,0.1,0.618774061,0.2,0.8,0,0,0,0,0,0,0,0,0,0.717389671,0.782316119,1,1,0.346948357,0.62,1,0.5,0.25,1,1,0,0.520158451,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.835680751,0.85915493,0.788732394,0.85915493
1254,"Municipio","Oaxaca","San Pedro Mixtepec",0.228912377,0.075,0.382824755,0.15,0.6,0,0,0,0,0,0,0,0,0,0.45627451,0.760457516,1,1,0.281372549,0,0,0,0,0,0,0,0.309375,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.5,0.5,0.5,0.5
1255,"Municipio","Oaxaca","San Pedro Pochutla",0.624936937,0.45,0.799873874,0.9,0.6,1,1,1,0,0,0,0,0,0,0.699747748,0.912912913,1,1,0.738738739,0.38,1,0,0.25,1,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1256,"Partido","Oaxaca","Movimiento Ciudadano",0.450555556,0.405,0.496111111,0.81,1,1,1,0.25,0,0,0,0,0,0,0.482222222,0.803703704,1,1,0.411111111,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0.366666667,0.666666667,0.666666667,0.666666667,0.666666667
1257,"IES","Oaxaca","Universidad Autónoma Comunal de Oaxaca",0.296417379,0.05,0.542834758,0.1,0.4,0,0,0,0,0,0,0,0,0,0.507037037,0.845061728,1,0.916666667,0.618518519,0,0,0,0,0,0,0,0.578632479,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0.925925926,0.925925926,0.925925926,0.925925926
1258,"IES","Oaxaca","Universidad de Chalcatongo",0.4455,0.125,0.766,0.25,1,0,0,0,0,0,0,0,0,0,0.737882353,0.843137255,1,1,0.529411765,0.58,1,0.5,0,1,1,0,0.794117647,0,0,0,0,0,0,0,0,0,0,0,0,1,0.823529412,0.823529412,0.823529412,0.823529412
1259,"IES","Oaxaca","Instituto Tecnológico Superior de San Miguel El Grande",0.459625,0.125,0.79425,0.25,1,0,0,0,0,0,0,0,0,0,0.7005,0.8875,1,0.916666667,0.745833333,0.42,1,0.5,0,1,0,0,0.888,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1,1,1,1
1260,"IES","Oaxaca","Universidad Autónoma Benito Juárez de Oaxaca",0.563002858,0.39,0.736005715,0.78,0.8,1,1,0.333333333,0,0,0,0,0,0,0.656137803,0.813563004,1,0.916666667,0.524022346,0.42,1,0.5,0,1,0,0,0.815873627,0,0,0,0,0,0,0,0,0,0,0,0,0.827586207,0.945996276,0.955307263,0.927374302,0.955307263
1261,"Fideicomiso","Oaxaca","Fideicomiso para el Desarrollo Logístico para el Estado de Oaxaca",0.470537037,0.075,0.866074074,0.15,0.6,0,0,0,0,0,0,0,0,0,0.832148148,0.913580247,1,1,0.740740741,0.71,1,1,0.25,1,0,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1262,"Fideicomiso","Oaxaca","Fideicomiso Público Denomiando Oficina de Convenciones y Visitantes de Oaxaca",0.315940887,0.1,0.531881773,0.2,0.8,0,0,0,0,0,0,0,0,0,0.548,0.633333333,0.666666667,1,0.233333333,0.42,1,0,0,1,0,0.5,0.515763547,0,0,0,0,0,0,0,0,0,0,0,0,0.862068966,0.428571429,0.428571429,0.428571429,0.428571429
1263,"Fideicomiso","Oaxaca","Fideicomiso de Fomento para el Estado de Oaxaca",0.646344086,0.615,0.677688172,0.7,0.8,1,0,1,0.53,1,0.33,0,1,0,0.494086022,0.823476703,1,0.916666667,0.553763441,0,0,0,0,0,0,0,0.861290323,0,0,0,0,0,0,0,0,0,0,0,0,1,0.935483871,0.935483871,0.935483871,0.935483871
1264,"Autónomo","Oaxaca","Defensoría de los Derechos Humanos del Pueblo de Oaxaca",0.648591398,0.5,0.797182796,1,1,1,1,1,0,0,0,0,0,0,0.70855914,0.767598566,1,0.833333333,0.469462366,0.62,1,0.5,0.25,1,1,0,0.885806452,0,0,0,0,0,0,0,0,0,0,0,0,1,0.976344086,0.993548387,0.941935484,0.993548387
1265,"Autónomo","Oaxaca","Fiscalía General",0.69152166,0.765,0.61804332,0.9,0.6,1,1,1,0.63,1,0.33,1,1,0,0.488310221,0.813850368,1,0.833333333,0.608217771,0,0,0,0,0,0,0,0.74777642,0,0,0,0,0,0,0,0,0,0,0,0,0.517241379,0.987673344,0.993836672,0.989214176,0.979969183
1266,"Autónomo","Oaxaca","Instituto Estatal Electoral y de Participación Ciudadana de Oaxaca",0.557559829,0.45,0.665119658,0.9,0.6,1,1,1,0,0,0,0,0,0,0.438786325,0.591310541,0.5,0.666666667,0.607264957,0.21,1,0,0.25,0,0,0,0.891452991,0,0,0,0,0,0,0,0,0,0,0,0,1,0.985754986,0.987179487,0.987179487,0.982905983
1267,"Autónomo","Oaxaca","Órgano Superior de Fiscalización",0.540072389,0.475,0.605144779,0.62,1,1,0,0.5,0.33,1,0.33,1,0,0,0.616103511,0.693505852,0.75,0.75,0.580517556,0.5,1,1,0,1,0,0,0.594186047,0,0,0,0,0,0,0,0,0,0,0,0,NA,0.990310078,1,0.970930233,1
1268,"Descentralizado","Oaxaca","DIF",0.600998282,0.5,0.701996564,1,1,1,1,1,0,0,0,0,0,0,0.67667354,0.741122566,1,0.666666667,0.556701031,0.58,1,0,0.5,1,1,0,0.727319588,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.962199313,0.979381443,0.927835052,0.979381443
1269,"Descentralizado","Oaxaca","Instituto Oaxaqueño Constructor de Infraestructura Física Educativa",0.33994929,0.1,0.57989858,0.2,0.8,0,0,0,0,0,0,0,0,0,0.442352941,0.737254902,1,0.833333333,0.378431373,0,0,0,0,0,0,0,0.717444219,0,0,0,0,0,0,0,0,0,0,0,0,0.862068966,0.764705882,0.794117647,0.705882353,0.794117647
1270,"Ejecutivo","Oaxaca","Instituto Estatal de Educación Pública de Oaxaca",0.595595785,0.365,0.826191571,0.1,0.4,0,0,0,0.63,1,0.33,1,1,0,0.764643678,0.887739464,1,1,0.663218391,0.58,1,1,0.5,0,1,0,0.887739464,0,0,0,0,0,0,0,0,0,0,0,0,1,0.979565773,0.992337165,0.954022989,0.992337165
1271,"Ejecutivo","Oaxaca","Gubernatura",0.535617886,0.34,0.731235772,0.68,0.4,1,1,0.333333333,0,0,0,0,0,0,0.49800813,0.83001355,0.833333333,0.916666667,0.74004065,0,0,0,0,0,0,0,0.964463415,0.73,1,1,1,1,1,1,0,1,1,0,0,1,0.985772358,0.993902439,0.969512195,0.993902439
1272,"Ejecutivo","Oaxaca","Secretaría de Gobierno",0.413792683,0.075,0.752585366,0.15,0.6,0,0,0,0,0,0,0,0,0,0.605170732,0.755284553,0.5,0.833333333,0.932520325,0.38,1,0,0.25,1,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1273,"Ejecutivo","Oaxaca","Secretaría de Bienestar, Tequio e Inclusión Social",0.573012821,0.515,0.631025641,0.7,0.8,1,0,1,0.33,1,0.33,1,0,0,0.500512821,0.667521368,0.666666667,0.833333333,0.502564103,0.25,0,0.5,0,1,0,0,0.761538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.769230769,0.769230769,0.769230769,0.769230769
1274,"Ejecutivo","Oaxaca","Secretaría de Fomento Agroalimentario y Desarrollo Rural",0.410452381,0.075,0.745904762,0.15,0.6,0,0,0,0,0,0,0,0,0,0.591809524,0.706349206,0.666666667,0.833333333,0.619047619,0.42,1,0,0.5,1,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1275,"Ejecutivo","Oaxaca","Secretaría de Desarrollo Económico",0.500784163,0.24,0.761568327,0.25,1,0,0,0,0.23,1,0.33,0,0,0,0.633481481,0.802469136,0.833333333,0.833333333,0.740740741,0.38,1,0,0.25,1,0,0,0.889655172,0,0,0,0,0,0,0,0,0,0,0,0,0.965517241,1,1,1,1
1276,"Ejecutivo","Oaxaca","Secretaría de Finanzas",0.386919303,0.125,0.648838605,0.25,1,0,0,0,0,0,0,0,0,0,0.439757576,0.452929293,0.5,0.333333333,0.525454545,0.42,1,0,0.5,1,0,0,0.857919635,0,0,0,0,0,0,0,0,0,0,0,0,0.965517241,0.947107438,0.998347107,0.851239669,0.991735537
1277,"Ejecutivo","Oaxaca","Secretaría de Seguridad y Proteccion Ciudadana",0.558254386,0.335,0.781508772,0.1,0.4,0,0,0,0.57,1,0.66,0,1,0,0.663017544,0.74502924,0.666666667,0.833333333,0.735087719,0.54,1,1,0.25,1,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1278,"Ejecutivo","Oaxaca","Secretaria de Honestidad, Transparencia y Función Pública",0.797091954,0.81,0.784183908,0.75,1,1,0,1,0.87,1,0.66,0,1,1,0.668367816,0.640613027,0.666666667,0.5,0.755172414,0.71,1,1,0.25,1,1,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
1279,"Ejecutivo","Oaxaca","Secretaría de las Infraestructuras y Comunicaciones",0.558185824,0.34,0.776371648,0.15,0.6,0,0,0,0.53,1,0.33,0,1,0,0.683777778,0.77962963,0.833333333,1,0.505555556,0.54,1,1,0.25,0,1,0,0.868965517,0,0,0,0,0,0,0,0,0,0,0,0,0.896551724,1,1,1,1
1280,"Ejecutivo","Oaxaca","Servicios de Salud de Oaxaca",0.785408938,0.915,0.655817875,0.9,0.6,1,1,1,0.93,1,0.33,1,1,1,0.450758853,0.751264755,0.833333333,1,0.420460933,0,0,0,0,0,0,0,0.860876897,0,0,0,0,0,0,0,0,0,0,0,0,1,0.934794829,0.998313659,0.807757167,0.998313659
1281,"Judicial","Oaxaca","Tribunal Superior de Justicia",0.395337979,0.075,0.715675958,0.15,0.6,0,0,0,0,0,0,0,0,0,0.773918699,0.816531165,1,1,0.449593496,0.71,1,1,0.25,1,1,0,0.657433217,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0.881436314,0.995934959,0.989837398,0.658536585
1282,"Legislativo","Oaxaca","Congreso Estatal",0.692120217,0.555,0.829240435,0.58,1,1,0,0.333333333,0.53,1,0.33,0,1,0,0.705009079,0.788348465,1,0.75,0.615045396,0.58,1,0.5,0,1,1,0,0.95347179,0.73,1,1,1,1,1,1,0,1,1,0,0,0.9375,0.998702983,1,0.996108949,1
1283,"Municipio","Oaxaca","Heróica Ciudad de Juchitán de Zaragoza",0.301089744,0.425,0.177179487,0.85,0.4,1,1,1,0,0,0,0,0,0,0.308205128,0.513675214,0.666666667,0.833333333,0.041025641,0,0,0,0,0,0,0,0.046153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0.076923077,0.076923077,0.076923077
1284,"Municipio","Oaxaca","La Trinidad Vista Hermosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285,"Municipio","Oaxaca","Natividad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,"Municipio","Oaxaca","Nazareno Etla",0.05,0.1,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
